date,January,February,March,April,May,June,July,August,September,October,November,December
1950,35.4,26.7,32.1,43.7,53.7,64.4,70.1,67.7,59.1,53.8,44.5,32.8
1951,31.9,32.8,37.6,48.6,56.8,63.6,71.1,68.5,62.6,53.0,39.8,33.4
1952,31.5,30.9,35.6,48.7,55.2,67.0,74.7,69.7,63.2,50.1,42.3,33.5
1953,32.8,33.5,38.2,46.9,57.4,66.7,69.8,68.8,63.6,53.2,45.0,37.6
1954,25.4,34.7,37.1,47.6,54.4,65.2,68.7,66.5,60.8,56.6,42.0,32.6
1955,26.6,30.3,36.1,47.2,58.7,63.7,74.1,71.6,61.5,53.5,39.7,24.6
1956,28.9,31.0,31.8,42.7,52.2,65.7,68.6,68.9,59.0,51.7,42.6,35.3
1957,21.7,32.7,37.6,48.2,57.3,68.5,70.6,66.6,63.6,51.4,44.4,37.2
1958,28.8,23.6,36.8,46.7,53.6,61.1,70.0,68.6,61.5,50.2,43.4,24.1
1959,26.9,25.3,35.2,47.6,59.1,63.4,71.1,71.6,65.2,52.9,42.0,33.4
1960,27.8,33.4,30.0,47.4,57.2,65.7,68.9,68.8,61.1,51.2,44.0,26.2
1961,21.9,29.2,35.7,44.1,53.9,65.5,70.4,69.1,67.5,54.4,42.6,30.7
1962,27.0,25.1,36.0,47.0,55.2,65.1,66.6,67.0,59.5,50.9,39.1,27.0
1963,26.8,24.2,37.3,46.4,55.4,65.6,70.9,67.3,58.0,55.8,45.7,24.0
1964,29.2,26.7,36.9,44.7,58.6,64.5,69.9,64.7,60.9,50.8,43.0,32.0
1965,23.9,26.9,34.5,43.8,58.6,64.4,69.3,68.9,62.4,50.7,39.8,33.3
1966,26.9,29.0,37.8,43.1,53.8,66.0,71.2,69.2,60.4,50.4,44.5,31.6
1967,32.5,24.9,32.4,43.6,50.0,64.9,71.0,68.7,60.8,52.3,37.9,33.0
1968,23.6,23.9,37.5,48.9,54.8,63.7,71.6,68.6,63.0,54.6,40.7,29.1
1969,27.1,27.8,33.9,48.4,56.0,66.0,69.4,71.6,62.6,52.0,41.6,29.6
1970,19.7,28.8,34.1,46.5,57.1,64.2,71.7,70.6,62.9,53.2,43.4,28.1
1971,22.2,29.2,35.3,43.6,55.0,66.2,71.2,70.1,65.9,57.2,39.5,34.2
1972,29.8,26.3,34.7,42.4,56.2,63.1,70.9,68.4,63.2,48.4,39.7,33.5
1973,30.0,28.4,42.2,48.3,55.3,68.0,71.5,72.5,62.2,52.5,42.3,36.6
1974,29.8,27.3,37.6,48.8,54.2,64.0,70.6,70.3,62.0,47.5,42.7,34.2
1975,32.5,29.2,34.8,42.9,59.6,64.9,72.3,70.0,59.7,54.3,47.0,31.5
1976,23.5,34.2,38.1,50.6,56.0,67.9,69.3,68.4,60.6,48.7,37.3,25.4
1977,19.6,27.5,41.4,48.1,58.7,64.2,71.2,70.2,62.3,51.6,44.6,30.4
1978,24.8,21.8,33.1,45.0,56.0,65.4,69.0,70.2,59.0,50.6,41.6,32.8
1979,29.5,20.0,40.0,46.2,59.4,64.0,72.1,69.2,62.5,51.5,46.6,35.5
1980,28.6,25.6,35.6,47.7,58.2,63.2,72.2,71.6,63.7,49.5,39.4,27.2
1981,19.0,34.6,36.7,48.9,57.5,66.9,72.3,68.5,60.8,49.0,41.7,30.7
1982,20.4,29.7,36.3,44.4,57.3,61.9,71.2,66.7,61.9,51.3,45.5,36.7
1983,28.9,30.8,39.1,46.8,54.4,67.3,72.6,70.6,65.8,52.2,43.9,31.0
1984,25.1,35.6,31.9,46.0,55.7,67.4,70.1,71.8,59.9,54.6,42.7,37.2
1985,22.5,30.2,39.1,48.5,57.7,62.4,70.8,69.2,63.2,52.9,44.3,29.3
1986,29.7,27.4,38.2,48.0,57.7,64.0,69.3,67.3,60.4,51.7,40.1,33.8
1987,27.3,27.5,38.2,47.1,57.2,66.5,71.1,67.8,62.1,49.8,41.5,33.6
1988,24.8,30.1,37.8,45.4,56.6,64.8,72.4,72.8,61.2,47.5,43.7,31.1
1989,32.0,28.3,36.3,44.6,57.6,66.9,70.3,70.0,63.4,52.4,41.0,19.8
1990,35.2,32.9,38.7,46.6,54.2,65.9,71.3,71.8,61.9,56.7,44.8,38.2
1991,28.2,33.6,39.8,49.8,61.9,67.0,71.6,71.3,61.1,54.1,43.5,34.6
1992,29.4,30.8,34.5,44.2,55.7,64.7,68.2,67.8,61.9,49.7,41.1,32.8
1993,30.1,24.4,34.2,47.1,59.0,66.3,71.9,71.3,62.8,50.1,42.7,32.2
1994,21.3,24.6,36.8,49.0,55.0,68.0,74.7,68.5,61.5,51.9,46.7,36.6
1995,34.1,27.8,39.5,46.2,55.4,66.2,73.4,70.7,61.4,55.7,39.9,28.4
1996,27.6,28.3,34.2,46.7,56.0,66.6,69.4,69.8,62.8,51.2,38.7,37.6
1997,28.4,35.4,36.7,45.6,54.0,66.0,71.2,69.0,62.5,50.9,40.2,33.4
1998,34.3,36.0,39.9,48.4,59.8,64.9,71.6,71.6,64.7,52.7,42.6,37.7
1999,29.6,33.4,38.8,48.3,58.4,68.6,74.4,70.4,65.5,51.4,46.5,35.7
2000,26.8,33.0,42.3,46.1,57.2,66.2,68.5,68.7,62.2,52.3,42.2,28.1
2001,28.0,30.9,35.3,47.5,58.9,68.9,68.2,72.7,63.6,53.6,46.9,38.6
2002,34.7,34.9,39.3,50.0,55.3,64.6,72.5,72.6,65.6,51.1,41.7,31.8
2003,23.5,25.2,36.8,44.2,54.0,64.2,71.7,73.0,64.6,50.7,45.2,34.7
2004,20.2,30.9,37.9,48.1,58.7,64.9,70.0,69.8,63.8,51.7,42.5,33.4
2005,26.3,30.3,33.3,48.5,52.1,68.1,72.0,73.8,66.3,54.0,45.1,31.3
2006,36.0,30.6,37.3,48.7,57.0,67.1,74.2,70.0,61.8,52.0,47.7,39.7
2007,32.8,25.4,36.7,44.8,59.0,66.5,71.6,71.0,65.1,58.0,41.1,31.4
2008,31.7,31.8,37.9,49.3,55.4,69.0,73.9,68.4,63.9,51.2,42.0,34.8
2009,23.4,32.0,37.2,49.4,57.7,63.4,69.1,72.7,61.7,50.8,47.8,32.1
2010,28.4,31.4,43.6,52.0,60.9,68.9,75.0,70.8,65.5,53.5,43.3,30.3
2011,25.2,28.8,38.0,49.1,58.9,66.2,73.8,71.3,66.5,54.9,47.8,39.0
2012,33.5,35.7,45.5,50.1,60.6,65.7,73.6,72.5,63.3,55.4,41.0,37.6
2013,30.4,30.2,37.1,47.7,58.5,68.0,76.4,69.1,62.1,54.0,41.3,33.0
2014,26.1,27.2,32.8,47.0,58.0,66.4,72.3,68.6,64.4,55.3,41.4,37.4
2015,25.5,17.7,31.8,47.2,61.2,64.5,72.3,72.6,67.6,52.4,47.1,45.3
2016,31.3,33.1,42.9,46.2,57.9,66.9,73.8,73.9,66.4,54.7,45.2,34.2
2017,34.2,35.2,34.1,51.5,56.5,66.8,71.1,69.8,66.4,59.6,43.1,30.1
2018,27.6,37.7,37.3,44.4,61.4,65.9,73.8,75.1,66.5,52.7,41.0,35.3
2019,29.0,31.6,35.9,49.2,56.4,66.5,74.8,71.3,63.9,54.7,40.1,34.1
2020,35.3,35.4,42.6,44.1,56.6,68.1,75.4,73.8,64.5,54.6,47.5,35.7
2021,31.5,30.9,40.4,48.9,58.2,69.8,71.3,73.7,66.6,58.6,43.0,38.7
